PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-N2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DN2 - INF),LOG(DN2 - 1 bar)
23.81541,24.06097,1.010310971,1831.5,0.72056,1.36827054,4.40E+00,61.11111111,33.33333333,5.555555556,0,0,0,0,-2.62234,-2.75753
32.05739,32.23268,1.005468006,1966.39,0.77422,1.842222984,3.77E+00,60.86956522,34.7826087,4.347826087,0,0,0,0,-2.5405,-2.98756
16.88399,17.68947,1.047706733,4042.07,0.81256,2.418175,5.08E+00,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,-2.74917,-2.85548
38.02857,38.18266,1.004051954,2421.47,0.82272,2.469681324,3.62E+00,57.69230769,38.46153846,3.846153846,0,0,0,0,-2.51781,-2.57481
38.73241,38.88744,1.004002591,2573.21,0.84332,2.69574279,3.95E+00,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,-2.50866,-2.60093
37.56498,37.65744,1.002461335,3106.64,0.85454,3.028994754,3.90E+00,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,-2.66101,-2.69501
26.35383,26.54457,1.007237658,2082.13,0.76606,1.616917628,4.52E+00,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,-2.64955,-3.00351
25.82277,26.05323,1.008924682,2077.82,0.77472,1.555653279,5.81E+00,50,33.33333333,11.11111111,5.555555556,0,0,0,-2.85545,-2.9234
38.80415,38.87485,1.00182197,2607.72,0.80212,2.147841501,5.48E+00,57.89473684,38.59649123,3.50877193,0,0,0,0,-2.7096,-2.84057
12.63935,13.00429,1.02887332,1699.8,0.64652,0.883768551,7.08E+00,52,28,12,8,0,0,0,-2.92688,-3.00225
38.96494,39.10948,1.003709489,2611.01,0.83528,2.677703012,3.81E+00,54.16666667,37.5,8.333333333,0,0,0,0,-2.53119,-2.61431
